vh,wind,humidity,temp,ibh,dpg,ibt,vis,PC1,PC2,PC3,PC4,PC5,PC6,PC7,ozone,ozone_class
-0.384,-0.389,-1.519,-1.507,0.067,-1.188,-0.969,1.583,-2.201,-1.95,0.341,-0.173,-0.779,-0.008,0.553,3,0
-0.478,-0.826,-1.065,-1.161,-1.101,-1.16,-0.433,-0.31,-0.593,-1.679,-1.059,0.746,-1.047,-0.384,0.275,5,0
0.09,-0.826,-0.359,-0.537,-0.623,0.214,-0.289,-0.814,0.184,-0.369,-1.178,0.106,-0.19,-0.66,0.469,5,0
-0.289,-0.389,0.548,-1.853,-0.558,-0.066,-0.525,-0.814,-0.629,0.166,-1.613,0.689,-0.704,0.224,1.06,6,0
0.374,0.484,-1.973,-1.161,0.032,-1.412,-0.498,-0.31,-1.046,-1.884,0.298,1.476,0.253,-0.594,0.778,4,0
0.374,-0.826,-1.67,-0.468,-1.121,-1.272,0.272,1.583,-0.243,-2.567,0.711,-0.489,-1.293,-0.272,0.358,4,0
-0.478,-0.826,0.75,-1.438,-0.272,0.158,-0.616,-0.057,-0.823,0.226,-1.431,-0.247,-0.73,0.43,0.669,6,0
-0.478,-0.826,0.044,-1.23,0.045,-0.543,-0.916,-0.057,-1.173,-0.556,-1.209,0.042,-0.32,0.364,0.388,7,0
0.185,1.358,-1.569,-0.537,1.348,-1.02,-0.903,-0.057,-1.664,-0.849,1.083,1.343,1.269,-0.273,0.302,4,0
-0.289,-0.826,-0.712,-0.745,-1.367,-0.235,0.155,0.321,-0.002,-1.068,-0.554,-0.124,-1.414,-0.569,0.3,6,0
0.09,0.484,-1.267,-0.745,-1.155,-1.721,0.259,-1.067,0.26,-1.648,-0.191,2.125,-0.583,-0.355,0.303,5,0
0.28,0.484,-1.973,-0.537,1.348,-1.721,-0.342,0.952,-1.665,-2.13,1.339,0.564,0.92,0.103,0.081,4,0
0.753,-0.826,-1.973,-0.26,-0.735,-1.973,1.069,1.583,0.182,-3.312,1.137,-0.278,-0.857,0.04,0.17,4,0
1.132,-1.263,-1.973,-0.052,1.348,-2.366,0.324,0.952,-0.544,-3.486,0.684,-0.408,1.313,0.574,-0.004,7,0
0.848,0.048,-1.973,0.156,1.348,-1.609,0.168,0.952,-0.773,-2.359,1.483,0.051,1.259,0.069,-0.046,5,0
0.28,-0.389,0.044,0.363,-1.074,-0.459,0.364,0.321,0.856,-0.62,0.088,-0.176,-0.825,0.169,-0.042,9,0
-0.668,0.048,0.75,-0.676,-1.21,-2.394,0.638,-1.445,0.715,-0.945,-1.23,2.256,-1.037,1.355,-0.462,4,0
-0.289,-0.389,-1.973,-0.537,1.348,-2.338,-0.459,0.195,-1.665,-2.663,0.2,0.822,1.017,0.234,-0.529,3,0
0.09,-0.826,-1.973,-0.537,1.348,-2.113,-0.655,1.583,-1.973,-2.955,0.756,-0.418,0.67,0.463,-0.181,4,0
-0.194,-0.389,-1.62,-0.26,1.348,-1.216,-0.655,0.952,-1.718,-1.828,0.582,-0.226,0.834,0.0,-0.354,4,0
-0.478,0.048,0.044,0.502,0.262,0.018,-0.59,0.321,-0.48,0.225,0.156,-0.263,0.093,0.051,-0.579,5,0
-0.952,0.048,0.598,-0.745,0.593,0.158,-0.969,0.195,-1.451,0.715,-0.575,-0.058,-0.105,0.441,-0.088,6,0
-0.668,-0.826,0.296,-0.606,-1.367,-0.767,-0.107,-0.941,0.343,-0.532,-1.594,0.76,-1.148,0.14,-0.126,9,0
0.659,0.048,-1.973,-0.191,-1.097,-1.945,0.69,-0.688,0.749,-2.551,0.297,1.629,-0.286,-0.607,0.194,6,0
0.564,0.048,-1.973,0.156,-0.434,-0.908,0.272,0.321,0.106,-1.898,0.9,0.417,-0.024,-0.886,0.11,6,0
0.374,-0.826,-1.519,0.086,-0.988,-0.908,0.351,-0.057,0.564,-1.969,-0.091,0.18,-0.454,-0.758,0.006,11,1
0.469,-1.263,-1.317,0.086,-1.134,-1.553,1.082,-1.067,1.42,-2.416,-0.837,0.798,-0.26,-0.463,-0.212,10,0
0.659,0.048,-1.973,0.017,-1.196,-1.3,1.069,-0.057,0.902,-2.266,0.763,0.956,-0.581,-0.865,0.158,7,0
0.185,1.358,0.901,0.086,-0.975,-0.683,0.377,-1.496,1.19,0.739,-0.103,2.018,-0.317,0.526,0.136,12,1
-0.763,-0.826,0.548,-0.537,0.599,1.251,-0.864,-1.193,-0.652,1.181,-1.847,-0.301,0.579,-0.535,-0.013,9,0
-1.52,-0.826,0.901,-1.784,1.348,1.476,-1.674,-0.31,-2.494,1.595,-2.064,-0.743,0.302,-0.064,0.324,2,0
-3.226,0.484,0.296,-2.13,1.348,0.298,-2.079,0.952,-4.34,1.214,-0.869,0.166,-0.824,0.284,-0.704,3,0
-3.794,0.921,0.195,-2.2,-0.684,0.018,-1.099,-0.814,-2.824,1.271,-1.704,2.015,-2.112,-0.496,-1.0,3,0
-2.563,1.795,0.699,-1.784,1.348,-0.487,-1.622,2.845,-4.341,1.074,1.354,-0.007,-1.35,1.521,-0.482,2,0
-1.426,0.921,0.901,-1.368,0.681,-0.992,-1.099,1.583,-2.576,0.39,0.453,0.286,-0.951,1.653,-0.122,3,0
-2.468,2.668,0.699,-1.715,1.348,0.41,-1.661,2.845,-4.352,2.009,1.93,0.106,-1.298,0.992,-0.198,3,0
-1.805,2.231,0.699,-1.438,1.348,-0.515,-1.7,2.214,-3.726,1.224,1.539,0.475,-0.748,1.445,-0.125,4,0
-0.478,-0.826,-1.317,-1.091,1.348,-1.328,-1.099,2.214,-2.753,-2.05,0.56,-1.033,0.067,0.599,0.018,6,0
-0.668,0.048,-0.41,-0.745,1.348,-0.711,-1.125,2.214,-2.583,-0.698,0.953,-0.915,-0.035,0.854,-0.106,8,0
-0.478,-0.389,1.405,-0.468,-0.097,0.102,-0.525,0.952,-0.63,0.681,-0.394,-0.843,-0.832,1.148,0.101,6,0
-0.952,0.048,0.145,-1.438,1.348,0.943,-1.791,-0.31,-2.404,1.123,-1.085,-0.041,0.673,-0.283,0.492,4,0
-1.331,0.048,0.195,-1.438,0.948,0.691,-1.426,1.583,-2.824,0.719,-0.049,-0.944,-0.549,0.22,0.227,3,0
-0.194,0.048,0.397,-0.883,-0.784,0.27,-0.59,0.952,-0.695,0.27,-0.006,-0.396,-1.253,0.215,0.719,7,0
0.185,0.048,0.498,-1.161,0.114,-0.431,-0.381,0.952,-0.922,-0.176,0.113,-0.221,-0.515,0.951,0.867,11,1
0.185,-0.826,1.203,-0.468,-1.183,0.242,-0.198,-1.067,0.93,0.524,-1.678,0.128,-0.688,0.31,0.604,13,1
-0.573,1.358,-1.872,-1.438,1.348,-1.328,-1.36,2.214,-3.448,-1.419,1.945,0.431,-0.008,0.174,0.394,6,0
-0.478,-0.826,-1.973,-1.161,1.348,-1.973,-1.243,2.214,-3.013,-2.828,0.688,-0.669,0.135,0.493,-0.058,5,0
-0.194,2.668,-1.973,-0.745,1.348,-1.693,-0.864,2.214,-2.883,-1.232,3.225,1.221,0.224,0.305,0.2,4,0
-0.573,0.921,-1.973,-0.606,1.348,-0.291,-0.864,2.214,-2.742,-0.997,1.988,-0.429,0.184,-0.547,-0.051,4,0
-1.047,0.048,0.498,-0.814,1.348,0.186,-1.374,2.214,-2.696,0.493,0.555,-1.349,-0.26,0.958,-0.096,6,0
-0.289,0.484,0.246,-0.122,-0.684,0.046,-0.133,0.321,-0.079,0.345,0.258,0.214,-0.828,0.055,0.06,10,0
-0.099,-0.826,-0.208,-0.537,-0.697,-0.431,0.259,0.321,0.053,-0.891,-0.484,-0.255,-0.836,0.066,0.168,15,1
-0.099,-0.826,-0.561,-0.606,-0.937,-0.599,0.442,-0.562,0.413,-1.116,-0.91,0.433,-0.691,-0.34,0.148,23,1
-0.099,-0.826,-0.107,-0.606,-1.229,-0.403,0.442,-1.067,0.791,-0.676,-1.339,0.639,-0.785,-0.297,0.226,17,1
-0.763,0.921,0.145,-1.23,0.513,1.56,-0.838,-1.067,-1.237,1.81,-0.757,0.746,0.302,-0.973,0.64,7,0
-1.899,2.231,0.8,-1.507,1.348,1.56,-1.517,-0.562,-2.739,3.0,-0.164,1.236,0.25,-0.333,0.141,2,0
-2.657,0.921,-0.612,-2.2,1.348,0.747,-2.301,2.214,-4.843,0.893,0.41,-0.477,-0.973,-0.302,-0.078,3,0
-4.079,2.668,-0.662,-2.546,1.348,0.607,-2.431,0.952,-5.525,1.959,0.387,1.649,-1.134,-0.7,-0.765,3,0
-2.089,-0.826,-0.763,-1.507,1.348,-0.824,-1.987,0.195,-3.354,-0.738,-1.412,0.155,0.166,0.081,-0.68,4,0
-1.426,-0.826,-1.872,-1.161,1.348,-0.543,-1.596,0.195,-2.909,-1.343,-0.833,0.009,0.595,-0.844,-0.462,6,0
-0.857,0.921,-0.057,-0.745,1.348,0.354,-1.374,0.195,-2.145,0.914,0.151,0.328,0.638,-0.007,0.035,7,0
-1.615,0.048,-0.813,-0.953,0.575,0.186,-1.569,-0.31,-2.266,0.173,-0.866,0.501,0.013,-0.808,-0.383,7,0
-2.278,0.048,-0.41,-1.161,1.348,0.578,-2.04,0.195,-3.281,0.799,-0.921,-0.009,0.149,-0.532,-0.663,6,0
-2.089,0.048,0.145,-1.022,1.348,1.083,-1.844,0.952,-3.141,1.282,-0.51,-0.787,-0.112,-0.227,-0.511,3,0
-1.236,1.795,0.145,-1.299,1.348,1.364,-1.935,-0.057,-2.801,2.178,0.138,0.693,0.489,-0.533,0.474,2,0
-0.573,-2.136,0.094,-0.883,-1.088,-1.244,-0.094,2.214,-0.758,-1.988,-0.603,-1.674,-2.103,1.096,-0.054,8,0
0.09,-0.389,-1.368,-0.399,-1.243,-0.739,0.246,2.214,-0.471,-1.905,1.212,-0.823,-1.751,-0.282,0.303,12,1
-0.099,-0.826,0.397,-0.606,-1.114,-0.123,0.063,0.321,0.226,-0.356,-0.728,-0.387,-1.231,0.246,0.381,12,1
0.28,0.048,-0.259,-0.052,-1.158,-1.048,0.285,-1.546,1.114,-0.742,-0.757,1.579,-0.267,-0.135,0.107,16,1
0.374,-1.263,-0.813,0.086,-1.134,-0.908,0.729,-0.941,1.284,-1.673,-0.993,0.391,-0.354,-0.458,-0.081,9,0
0.09,-0.826,0.094,0.571,-1.146,-0.291,0.403,-0.688,1.301,-0.481,-0.778,0.072,-0.519,-0.168,-0.34,24,1
-0.478,-0.389,1.203,-0.329,-0.556,1.42,-0.342,-1.357,0.451,1.699,-1.685,0.017,-0.265,-0.404,0.231,13,1
-0.668,-0.389,-0.057,-1.853,-1.028,0.298,-0.407,0.195,-0.975,-0.07,-1.006,0.119,-1.531,-0.34,0.919,8,0
-0.289,0.048,-1.872,-0.676,-1.148,-1.861,0.455,0.195,-0.259,-2.399,0.368,1.279,-1.115,-0.465,-0.093,10,0
-0.289,0.048,-1.973,-0.191,-1.219,-1.244,0.886,2.214,-0.421,-2.375,1.754,-0.251,-1.836,-0.473,-0.282,8,0
-0.194,-0.389,-1.317,0.363,-1.183,-0.739,1.069,0.952,0.558,-1.673,0.794,-0.185,-1.241,-0.585,-0.556,9,0
-0.384,0.048,0.951,-0.329,-0.928,1.027,-0.041,1.583,-0.245,0.984,0.415,-1.213,-1.653,0.251,0.347,10,0
-0.289,-0.389,0.649,-1.368,-0.662,-0.375,-0.342,-0.814,-0.256,0.035,-1.456,0.735,-0.705,0.429,0.686,14,1
-0.384,-0.826,-1.973,-0.468,1.348,-0.936,-0.799,-0.31,-1.588,-1.818,-0.491,0.236,1.261,-0.72,-0.37,9,0
-1.426,0.484,-0.662,-1.507,1.348,0.578,-1.021,0.321,-2.687,0.514,-0.22,0.191,0.241,-0.555,0.033,11,1
-1.142,-0.389,-0.712,-1.576,-0.706,0.635,-0.603,0.321,-1.448,-0.095,-0.829,-0.075,-1.322,-0.999,0.441,7,0
-0.573,0.921,0.598,-0.329,-0.711,-0.627,-0.538,0.952,-0.698,0.296,0.643,0.432,-1.265,0.817,-0.004,9,0
-0.194,0.484,-0.662,-0.26,1.348,-0.88,-0.603,-0.31,-1.187,-0.514,0.2,0.802,1.172,0.213,-0.227,12,1
-0.384,-0.826,-0.612,0.017,-1.166,0.466,0.142,2.214,-0.328,-0.748,0.709,-1.731,-1.812,-0.489,-0.078,12,1
-1.331,0.484,-0.41,-0.745,-0.649,0.691,-0.472,-0.057,-1.016,0.627,-0.315,0.476,-1.069,-0.966,-0.154,8,0
-0.668,0.048,0.548,-0.052,-0.904,0.494,-0.381,-0.31,0.074,0.803,-0.609,0.156,-0.88,-0.222,-0.146,9,0
-1.236,0.484,0.447,-1.922,1.348,1.616,-1.87,0.952,-3.163,1.755,-0.391,-0.72,-0.054,-0.169,0.818,5,0
-3.131,0.921,0.548,-1.853,1.348,0.663,-2.183,0.952,-4.204,1.792,-0.57,0.175,-0.744,0.241,-0.674,4,0
-1.994,0.048,-0.208,-1.853,1.348,1.251,-2.0,0.952,-3.633,1.124,-0.688,-0.672,-0.219,-0.524,0.123,4,0
-1.52,0.484,-0.359,-0.953,1.348,0.747,-1.374,2.214,-3.177,0.622,0.872,-1.144,-0.366,-0.049,-0.225,9,0
-0.573,0.484,0.246,-0.191,-0.31,0.382,-0.551,2.214,-1.189,0.408,1.204,-1.067,-1.314,0.336,0.034,13,1
-1.899,7.036,0.246,-1.438,1.348,1.083,-1.726,1.583,-4.159,4.137,4.344,3.134,-0.572,-0.029,0.53,5,0
-1.236,0.921,-0.057,-0.26,1.348,0.27,-0.969,-0.057,-1.807,0.958,0.142,0.476,0.667,-0.081,-0.629,10,0
-1.142,0.484,0.145,-0.745,-1.138,1.111,-0.459,0.195,-0.677,1.108,-0.309,0.129,-1.545,-0.825,0.155,10,0
-1.615,0.921,1.002,-1.091,1.348,1.055,-1.635,0.952,-2.782,2.009,-0.011,-0.382,-0.102,0.473,-0.063,7,0
-1.805,-0.389,0.346,-1.507,1.348,1.167,-1.87,0.195,-2.923,1.289,-1.366,-0.603,0.148,-0.235,-0.041,5,0
-2.942,0.048,-0.712,-1.853,1.348,0.186,-2.066,-0.562,-3.755,0.562,-1.637,0.867,0.05,-0.726,-0.81,4,0
-2.563,0.921,-0.359,-1.091,-0.046,0.326,-0.982,2.214,-3.007,0.588,0.849,-0.322,-1.955,-0.194,-0.789,7,0
-1.236,0.048,0.75,-1.576,1.348,2.513,-2.157,-0.31,-2.604,2.559,-1.456,-0.736,0.528,-0.785,0.753,3,0
-2.847,2.668,-1.166,-2.061,1.348,0.522,-2.0,2.214,-5.028,1.184,1.744,0.747,-1.019,-0.621,-0.248,4,0
-0.857,0.484,-1.166,-1.022,1.348,0.298,-1.569,0.952,-2.789,-0.054,0.444,-0.189,0.45,-0.601,0.18,7,0
-0.668,0.484,0.145,-0.814,-0.793,0.354,-0.538,-0.057,-0.624,0.598,-0.325,0.508,-1.022,-0.314,0.348,11,1
0.09,-0.389,-0.41,0.225,-1.125,-0.459,0.429,-0.31,0.867,-0.775,-0.247,0.309,-0.684,-0.332,-0.127,15,1
0.374,-0.389,-0.057,0.294,-1.199,-0.207,0.625,-0.057,1.156,-0.524,-0.076,-0.025,-0.776,-0.145,0.079,22,1
-0.289,0.048,0.498,0.502,-1.09,0.803,0.194,-0.814,1.031,0.934,-0.553,0.207,-0.612,-0.577,-0.244,17,1
-0.857,0.484,-0.007,-0.191,0.591,1.784,-0.707,-0.057,-1.049,1.619,-0.114,-0.401,0.225,-1.04,-0.081,7,0
-0.384,0.048,0.346,0.156,0.708,0.775,-0.303,-0.31,-0.353,0.927,-0.295,-0.253,0.579,-0.181,-0.273,10,0
0.28,0.921,1.002,0.433,-0.607,0.635,0.507,-0.31,1.052,1.298,0.406,0.333,-0.343,0.174,0.162,19,1
-0.005,0.921,0.75,-0.883,-0.813,1.055,0.324,-1.231,0.552,1.517,-0.589,1.048,-0.533,-0.46,0.886,18,1
-0.478,0.048,-0.864,-0.676,-0.946,-0.487,-0.211,-1.067,-0.111,-0.632,-0.794,1.297,-0.576,-0.808,0.107,12,1
-1.236,1.795,-0.561,-0.399,1.348,0.719,-1.648,0.195,-2.478,1.358,0.792,0.73,0.661,-0.672,-0.271,6,0
-0.952,0.484,-0.612,-0.468,1.348,0.887,-1.674,0.321,-2.292,0.804,0.053,-0.232,0.744,-0.731,-0.106,9,0
-0.194,0.048,0.145,0.294,-0.791,0.382,-0.015,-0.31,0.503,0.4,-0.22,0.111,-0.522,-0.394,-0.132,19,1
0.564,-0.389,-0.158,0.848,-0.953,-0.375,1.043,-0.31,1.665,-0.68,0.116,0.049,-0.314,-0.135,-0.278,21,1
0.374,-0.389,0.094,0.987,-0.98,-0.038,0.873,-0.057,1.554,-0.292,0.155,-0.279,-0.473,-0.127,-0.39,29,1
-0.099,1.358,1.002,0.571,-0.296,0.803,0.181,0.321,0.412,1.64,0.968,0.121,-0.412,0.224,-0.097,16,1
-0.573,-0.389,0.649,0.363,-1.254,1.195,-0.146,-0.057,0.589,1.048,-0.636,-0.614,-1.131,-0.58,-0.22,11,1
-0.668,0.484,0.951,-1.438,1.348,1.616,-1.465,-0.057,-2.055,2.073,-0.739,-0.338,0.551,0.01,0.842,2,0
-0.952,1.358,0.397,-0.052,-0.646,0.074,-0.42,0.195,-0.532,1.007,0.538,0.851,-0.986,0.037,-0.331,12,1
-0.194,0.484,0.8,0.433,-1.229,0.158,0.102,-0.057,0.802,0.75,0.092,0.29,-1.038,0.176,-0.15,16,1
-0.194,-0.826,1.002,0.502,-0.558,0.41,0.481,-0.688,1.146,0.568,-1.037,-0.366,-0.281,0.19,-0.439,22,1
0.09,0.921,1.002,0.848,-0.771,0.635,0.56,-0.562,1.335,1.384,0.337,0.45,-0.352,0.035,-0.225,20,1
0.753,0.484,0.851,0.848,-0.93,0.186,0.899,-0.688,1.913,0.667,0.232,0.416,-0.202,0.208,0.084,27,1
1.227,-0.826,1.103,1.264,-1.186,-0.487,1.84,-1.067,3.195,-0.304,-0.491,0.025,-0.099,0.706,-0.206,33,1
1.322,0.484,1.506,1.541,-0.999,-0.319,1.813,-1.319,3.296,0.647,0.236,0.758,0.174,0.864,-0.177,25,1
0.943,-0.389,0.901,1.125,-0.773,0.915,1.369,-1.357,2.646,0.828,-0.534,-0.132,0.29,-0.281,-0.011,31,1
0.659,0.484,0.246,1.264,-0.323,0.831,0.625,-1.067,1.7,0.907,0.234,0.262,0.607,-0.621,-0.191,18,1
0.469,0.921,1.002,0.987,-0.542,1.083,0.507,-0.941,1.587,1.685,0.24,0.368,0.161,-0.236,0.01,24,1
-0.099,-0.826,0.8,0.848,-0.771,0.971,0.612,-0.688,1.485,0.788,-0.877,-0.635,-0.309,-0.341,-0.475,16,1
-0.384,0.921,0.246,0.294,0.24,1.139,-0.133,-0.562,-0.036,1.468,0.176,0.323,0.316,-0.637,-0.178,12,1
-0.289,1.358,0.195,0.294,0.171,0.999,-0.263,-0.057,-0.255,1.454,0.761,0.351,0.114,-0.489,-0.052,9,0
-0.099,0.048,-0.259,0.502,-0.249,1.308,-0.146,-0.31,0.307,0.807,-0.053,-0.382,0.076,-1.127,-0.085,16,1
-0.573,1.795,0.195,0.017,0.637,1.588,-0.734,-0.057,-0.969,2.135,0.829,0.373,0.362,-0.763,0.08,8,0
-0.194,0.048,0.649,0.363,0.979,1.364,-0.12,0.952,-0.505,1.27,0.504,-1.392,0.394,0.056,-0.177,9,0
0.28,-0.826,0.498,1.264,-0.289,0.382,0.86,-0.057,1.497,0.11,-0.124,-0.915,0.079,0.045,-0.677,29,1
0.374,0.921,1.052,0.987,-0.341,1.476,0.69,-1.067,1.617,1.993,0.172,0.254,0.314,-0.422,-0.044,20,1
-0.005,-0.826,0.901,0.225,0.595,1.924,-0.12,-0.688,0.359,1.567,-1.121,-1.164,0.742,-0.504,0.088,5,0
-0.668,0.484,0.649,0.225,-0.669,1.616,-0.185,-0.31,0.218,1.776,-0.247,-0.163,-0.649,-0.773,-0.127,5,0
-0.289,-0.826,0.397,0.086,0.536,1.56,-0.538,-0.057,-0.334,1.041,-0.817,-1.261,0.419,-0.561,-0.018,11,1
0.185,-0.389,1.153,0.017,0.118,0.887,0.168,-0.31,0.533,1.064,-0.644,-0.607,0.149,0.313,0.236,12,1
0.469,-0.389,0.699,0.433,-0.882,0.242,0.599,-0.057,1.289,0.214,-0.183,-0.39,-0.536,0.217,0.126,19,1
0.28,1.358,1.708,0.433,-0.427,1.083,0.507,-0.688,1.207,2.243,0.308,0.524,-0.147,0.379,0.271,17,1
-0.099,0.484,0.649,0.502,0.367,1.672,0.129,-0.562,0.419,1.794,-0.035,-0.309,0.516,-0.598,-0.092,19,1
-0.194,0.484,0.296,0.294,0.482,1.392,-0.002,-0.31,0.004,1.401,0.104,-0.264,0.478,-0.612,-0.082,16,1
0.09,0.484,0.498,0.571,-0.552,1.223,-0.015,-0.31,0.715,1.308,0.121,-0.155,-0.197,-0.567,0.076,14,1
0.185,0.921,0.044,0.571,-0.401,1.644,-0.015,-0.057,0.49,1.456,0.679,-0.207,-0.084,-1.053,0.238,10,0
-0.573,1.358,0.447,0.156,0.216,1.756,-0.12,-0.057,-0.317,2.112,0.601,0.054,-0.023,-0.754,-0.047,9,0
-0.952,0.484,0.397,-0.052,0.054,1.027,-0.407,-0.057,-0.601,1.326,-0.151,-0.047,-0.299,-0.423,-0.34,7,0
-1.331,-0.826,0.145,-0.676,1.348,1.644,-1.374,0.321,-2.082,1.188,-1.099,-1.344,0.471,-0.622,-0.252,5,0
-1.71,1.795,1.153,-0.953,1.348,1.111,-1.465,0.195,-2.501,2.622,0.139,0.546,0.125,0.353,-0.172,2,0
-0.573,0.048,0.246,-0.191,1.348,0.803,-0.707,0.195,-1.245,0.914,-0.151,-0.562,0.799,-0.028,-0.202,12,1
0.09,-0.826,-0.007,0.363,-0.88,0.298,0.207,0.195,0.717,-0.266,-0.342,-0.698,-0.647,-0.319,-0.081,22,1
0.564,0.048,0.498,0.294,-0.791,0.719,0.429,0.195,0.992,0.549,0.235,-0.462,-0.517,-0.122,0.429,17,1
0.753,-0.389,0.649,0.848,-0.93,-1.16,1.226,-0.814,2.127,-0.699,-0.257,0.576,-0.169,0.833,-0.318,26,1
1.227,0.484,0.447,1.472,-0.997,-0.515,1.565,-1.193,2.836,-0.065,0.474,0.905,0.229,0.215,-0.226,27,1
1.038,-0.826,0.296,1.125,-0.718,1.616,0.769,-1.357,2.317,0.797,-0.789,-0.67,0.531,-1.124,0.225,14,1
0.753,0.484,0.296,0.917,-0.848,1.448,0.56,-0.562,1.634,1.185,0.355,-0.18,-0.04,-0.906,0.315,11,1
1.132,-0.389,0.548,1.541,-0.781,0.915,0.964,-0.814,2.484,0.588,-0.048,-0.53,0.339,-0.434,-0.062,23,1
1.038,-0.826,0.951,1.333,-0.88,0.775,1.069,-0.31,2.404,0.455,-0.205,-1.008,-0.069,0.051,-0.043,26,1
0.469,-0.826,0.145,1.195,-0.793,1.111,0.742,-0.057,1.652,0.31,-0.108,-1.134,-0.199,-0.724,-0.275,21,1
0.469,-0.389,0.548,1.195,-0.886,1.195,0.703,0.321,1.586,0.725,0.283,-1.161,-0.469,-0.414,-0.176,15,1
0.185,0.048,0.296,0.225,-1.001,0.242,1.056,-0.057,1.212,0.145,0.146,0.026,-0.799,-0.116,0.023,20,1
1.038,-0.389,-1.267,1.333,-1.079,-0.795,1.84,0.195,2.162,-1.815,1.074,-0.067,-0.268,-0.581,-0.45,15,1
